EmployeeID	Age	Department	JobLevel	YearsAtCompany	MonthlyIncome	JobSatisfaction	WorkLifeBalance	OverTime	DistanceFromHome	PromotionLast5Years	PerformanceRating	TrainingHoursLastYear	Attrition
EMP0000	42	Sales	3	9	9866	4	1	No	24.5	Yes	4	19	No
EMP0001	36	Sales	3	7	8958	3	3	No	10	No	2	13	No
EMP0002	44	Sales	4	16	11716	4	3	No	4	No	4	13	No
EMP0003	53	Finance	4	30	17061	5	3	No	7.1	No	3	20	No
EMP0004	35	HR	2	4	5738	2	3	No	8.4	No	2	15	No
EMP0005	35	Sales	1	1	3839	2	3	No	3.1	No	2	18	No
EMP0006	53	IT	4	31	17377	3	3	No	8.9	No	4	18	No
EMP0007	45	Finance	2	5	8463	4	3	No	17.6	No	2	8	No
EMP0008	33	HR	2	8	6956	5	3	No	3.6	No	2	7	No
EMP0009	43	Engineering	2	4	9383	1	3	Yes	8.6	No	3	10	No
EMP0010	33	Finance	2	3	8594	4	3	No	4.5	No	2	13	No
EMP0011	33	Engineering	1	1	5517	2	2	No	8.2	No	3	23	Yes
EMP0012	40	Finance	3	11	10530	4	1	No	8.6	No	3	18	No
EMP0013	22	Finance	1	0	5729	3	2	Yes	4	No	3	18	No
EMP0014	22	Sales	1	0	4524	1	3	No	6.1	No	3	15	No
EMP0015	32	IT	2	2	8191	2	3	No	12.5	No	2	13	No
EMP0016	27	HR	2	5	6277	3	3	Yes	11.5	Yes	2	19	Yes
EMP0017	41	Engineering	4	13	14731	5	4	Yes	3.3	No	2	13	No
EMP0018	28	IT	2	4	9583	2	3	Yes	8.1	No	3	19	No
EMP0019	23	Engineering	1	0	4994	3	2	Yes	6.5	Yes	3	20	No
EMP0020	52	Finance	4	25	16061	5	2	No	5.4	No	1	14	No
EMP0021	35	Finance	3	13	11207	3	1	No	5.5	No	3	17	No
EMP0022	38	Sales	2	2	6269	3	2	No	11.3	No	2	14	No
EMP0023	23	IT	1	1	5730	4	2	No	3.9	Yes	3	9	Yes
